                       w                      Re11                         w                      Im11
  3.0866147821519718E+01    5.5873850165288784E-03    3.0866147821519718E+01    4.4157299647329978E-02
  3.1023227454199208E+01    5.5320775588218645E-03    3.1023227454199208E+01    4.3941407792232150E-02
  3.1180307086878695E+01    5.4775818288262937E-03    3.1180307086878695E+01    4.3727579147420634E-02
  3.1337386719558186E+01    5.4238821246002265E-03    3.1337386719558186E+01    4.3515784836795732E-02
  3.1494466352237676E+01    5.3709631195043989E-03    3.1494466352237676E+01    4.3305996509405885E-02
  3.1651545984917167E+01    5.3188098515621566E-03    3.1651545984917167E+01    4.3098186327847114E-02
  3.1808625617596654E+01    5.2674077131672249E-03    3.1808625617596654E+01    4.2892326956959832E-02
  3.1965705250276145E+01    5.2167424411264660E-03    3.1965705250276145E+01    4.2688391552814578E-02
  3.2122784882955635E+01    5.1668001070253088E-03    3.2122784882955635E+01    4.2486353751978449E-02
  3.2279864515635126E+01    5.1175671079040259E-03    3.2279864515635126E+01    4.2286187661053999E-02
  3.2436944148314616E+01    5.0690301572335426E-03    3.2436944148314616E+01    4.2087867846483100E-02
  3.2594023780994107E+01    5.0211762761799110E-03    3.2594023780994107E+01    4.1891369324608053E-02
  3.2751103413673590E+01    4.9739927851469986E-03    3.2751103413673590E+01    4.1696667551982695E-02
  3.2908183046353081E+01    4.9274672955873788E-03    3.2908183046353081E+01    4.1503738415926465E-02
  3.3065262679032571E+01    4.8815877020718457E-03    3.3065262679032571E+01    4.1312558225314551E-02
  3.3222342311712062E+01    4.8363421746082770E-03    3.3222342311712062E+01    4.1123103701597490E-02
  3.3379421944391552E+01    4.7917191512009960E-03    3.3379421944391552E+01    4.0935351970043735E-02
  3.3536501577071043E+01    4.7477073306421546E-03    3.3536501577071043E+01    4.0749280551199016E-02
  3.3693581209750533E+01    4.7042956655268982E-03    3.3693581209750533E+01    4.0564867352556391E-02
  3.3850660842430024E+01    4.6614733554845153E-03    3.3850660842430024E+01    4.0382090660431136E-02
  3.4007740475109507E+01    4.6192298406179865E-03    3.4007740475109507E+01    4.0200929132034872E-02
  3.4164820107788998E+01    4.5775547951446829E-03    3.4164820107788998E+01    4.0021361787743168E-02
  3.4321899740468488E+01    4.5364381212312467E-03    3.4321899740468488E+01    3.9843368003551691E-02
  3.4478979373147979E+01    4.4958699430159548E-03    3.4478979373147979E+01    3.9666927503715206E-02
  3.4636059005827470E+01    4.4558406008120815E-03    3.4636059005827470E+01    3.9492020353564902E-02
  3.4793138638506960E+01    4.4163406454861146E-03    3.4793138638506960E+01    3.9318626952498777E-02
  3.4950218271186451E+01    4.3773608330048060E-03    3.4950218271186451E+01    3.9146728027140566E-02
  3.5107297903865941E+01    4.3388921191453624E-03    3.5107297903865941E+01    3.8976304624662582E-02
  3.5264377536545425E+01    4.3009256543632213E-03    3.5264377536545425E+01    3.8807338106268033E-02
  3.5421457169224915E+01    4.2634527788121216E-03    3.5421457169224915E+01    3.8639810140828360E-02
  3.5578536801904406E+01    4.2264650175113574E-03    3.5578536801904406E+01    3.8473702698671702E-02
  3.5735616434583896E+01    4.1899540756552625E-03    3.5735616434583896E+01    3.8308998045518093E-02
  3.5892696067263387E+01    4.1539118340602268E-03    3.5892696067263387E+01    3.8145678736557741E-02
  3.6049775699942877E+01    4.1183303447446572E-03    3.6049775699942877E+01    3.7983727610668302E-02
  3.6206855332622368E+01    4.0832018266374918E-03    3.6206855332622368E+01    3.7823127784767666E-02
  3.6363934965301858E+01    4.0485186614110397E-03    3.6363934965301858E+01    3.7663862648298553E-02
  3.6521014597981342E+01    4.0142733894340740E-03    3.6521014597981342E+01    3.7505915857841333E-02
  3.6678094230660832E+01    3.9804587058412250E-03    3.6678094230660832E+01    3.7349271331851862E-02
  3.6835173863340323E+01    3.9470674567149326E-03    3.6835173863340323E+01    3.7193913245520960E-02
