                       w                      Re11                         w                      Im11
  1.0288715940506572E+01    5.0708999999999997E-03    1.0288715940506572E+01    3.3011899999999997E-02
  1.0445795573186063E+01    4.9504500000000003E-03    1.0445795573186063E+01    3.2579549999999999E-02
  1.0602875205865551E+01    4.8339300000000002E-03    1.0602875205865551E+01    3.2157999999999999E-02
  1.0759954838545042E+01    4.7211800000000002E-03    1.0759954838545042E+01    3.1746839999999998E-02
  1.0917034471224531E+01    4.6120600000000003E-03    1.0917034471224531E+01    3.1345690000000002E-02
  1.1074114103904021E+01    4.5064199999999997E-03    1.1074114103904021E+01    3.0954209999999999E-02
  1.1231193736583510E+01    4.4041300000000000E-03    1.1231193736583510E+01    3.0572050000000000E-02
  1.1388273369263000E+01    4.3050600000000003E-03    1.1388273369263000E+01    3.0198880000000001E-02
  1.1545353001942489E+01    4.2090900000000004E-03    1.1545353001942489E+01    2.9834389999999999E-02
  1.1702432634621980E+01    4.1160900000000002E-03    1.1702432634621980E+01    2.9478290000000001E-02
  1.1859512267301469E+01    4.0259600000000003E-03    1.1859512267301469E+01    2.9130300000000001E-02
  1.2016591899980959E+01    3.9385799999999997E-03    1.2016591899980959E+01    2.8790139999999999E-02
  1.2173671532660448E+01    3.8538600000000002E-03    1.2173671532660448E+01    2.8457570000000001E-02
  1.2330751165339938E+01    3.7716799999999999E-03    1.2330751165339938E+01    2.8132319999999999E-02
  1.2487830798019427E+01    3.6919600000000002E-03    1.2487830798019427E+01    2.7814180000000001E-02
  1.2644910430698918E+01    3.6146099999999999E-03    1.2644910430698918E+01    2.7502900000000000E-02
  1.2801990063378407E+01    3.5395299999999999E-03    1.2801990063378407E+01    2.7198279999999998E-02
  1.2959069696057897E+01    3.4666499999999999E-03    1.2959069696057897E+01    2.6900110000000001E-02
  1.3116149328737386E+01    3.3958899999999999E-03    1.3116149328737386E+01    2.6608190000000000E-02
  1.3273228961416876E+01    3.3271600000000000E-03    1.3273228961416876E+01    2.6322330000000001E-02
  1.3430308594096365E+01    3.2604000000000001E-03    1.3430308594096365E+01    2.6042340000000001E-02
  1.3587388226775856E+01    3.1955299999999998E-03    1.3587388226775856E+01    2.5768059999999999E-02
  1.3744467859455344E+01    3.1324899999999999E-03    1.3744467859455344E+01    2.5499299999999999E-02
