                       w                      Re11                         w                      Im11
  1.9242255003237482E+01   -6.3966680446207354E-03    1.9242255003237482E+01   -2.1472103734003649E-02
  1.9399334635916972E+01   -6.3021783874562289E-03    1.9399334635916972E+01   -2.1326686703220958E-02
  1.9556414268596463E+01   -6.2097055244869160E-03    1.9556414268596463E+01   -2.1183005055215805E-02
  1.9713493901275953E+01   -6.1191942701755058E-03    1.9713493901275953E+01   -2.1041033549869640E-02
  1.9870573533955440E+01   -6.0305912475593759E-03    1.9870573533955440E+01   -2.0900747219761154E-02
  2.0027653166634931E+01   -5.9438448205061962E-03    2.0027653166634931E+01   -2.0762121378857343E-02
  2.0184732799314421E+01   -5.8589050287602210E-03    2.0184732799314421E+01   -2.0625131630014878E-02
  2.0341812431993912E+01   -5.7757235256577924E-03    2.0341812431993912E+01   -2.0489753871389373E-02
  2.0498892064673399E+01   -5.6942535183958122E-03    2.0498892064673399E+01   -2.0355964301842763E-02
  2.0655971697352889E+01   -5.6144497107420404E-03    2.0655971697352889E+01   -2.0223739425432166E-02
  2.0813051330032380E+01   -5.5362682480810032E-03    2.0813051330032380E+01   -2.0093056055057405E-02
  2.0970130962711870E+01   -5.4596666646939121E-03    2.0970130962711870E+01   -1.9963891315338322E-02
  2.1127210595391357E+01   -5.3846038331755207E-03    2.1127210595391357E+01   -1.9836222644787859E-02
  2.1284290228070848E+01   -5.3110399158952000E-03    2.1284290228070848E+01   -1.9710027797341656E-02
  2.1441369860750338E+01   -5.2389363184135763E-03    2.1441369860750338E+01   -1.9585284843300493E-02
  2.1598449493429829E+01   -5.1682556447700612E-03    2.1598449493429829E+01   -1.9461972169737485E-02
  2.1755529126109316E+01   -5.0989616545604136E-03    2.1755529126109316E+01   -1.9340068480418013E-02
  2.1912608758788807E+01   -5.0310192217270398E-03    2.1912608758788807E+01   -1.9219552795276755E-02
  2.2069688391468297E+01   -4.9643942949882834E-03    2.2069688391468297E+01   -1.9100404449492753E-02
  2.2226768024147788E+01   -4.8990538598361810E-03    2.2226768024147788E+01   -1.8982603092200317E-02
  2.2383847656827275E+01   -4.8349659020353857E-03    2.2383847656827275E+01   -1.8866128684870608E-02
  2.2540927289506765E+01   -4.7720993725589647E-03    2.2540927289506765E+01   -1.8750961499396167E-02
  2.2698006922186256E+01   -4.7104241538996798E-03    2.2698006922186256E+01   -1.8637082115908102E-02
  2.2855086554865746E+01   -4.6499110276980978E-03    2.2855086554865746E+01   -1.8524471420353267E-02
  2.3012166187545233E+01   -4.5905316436315154E-03    2.3012166187545233E+01   -1.8413110601856780E-02
  2.3169245820224724E+01   -4.5322584895102266E-03    2.3169245820224724E+01   -1.8302981149893108E-02
  2.3326325452904214E+01   -4.4750648625300395E-03    2.3326325452904214E+01   -1.8194064851287259E-02
  2.3483405085583705E+01   -4.4189248416322217E-03    2.3483405085583705E+01   -1.8086343787065754E-02
  2.3640484718263192E+01   -4.3638132609242729E-03    2.3640484718263192E+01   -1.7979800329175639E-02
