                       w                      Re11                         w                      Im11
  1.0602875205865551E+01    1.0723294627420950E-02    1.0602875205865551E+01   -8.5548976127362494E-02
  1.0759954838545042E+01    1.0419725543729358E-02    1.0759954838545042E+01   -8.4352148360072182E-02
  1.0917034471224531E+01    1.0128771891825091E-02    1.0917034471224531E+01   -8.3187634972194266E-02
  1.1074114103904021E+01    9.8497492989139072E-03    1.1074114103904021E+01   -8.2054174241084715E-02
  1.1231193736583510E+01    9.5820188444312830E-03    1.1231193736583510E+01   -8.0950567636213486E-02
  1.1388273369263000E+01    9.3249835111912076E-03    1.1388273369263000E+01   -7.9875676027768225E-02
  1.1545353001942489E+01    9.0780849533137614E-03    1.1545353001942489E+01   -7.8828416155133682E-02
  1.1702432634621980E+01    8.8408005492592694E-03    1.1702432634621980E+01   -7.7807757335693992E-02
  1.1859512267301469E+01    8.6126407117888357E-03    1.1859512267301469E+01   -7.6812718395950899E-02
  1.2016591899980959E+01    8.3931464297434134E-03    1.2016591899980959E+01   -7.5842364808377347E-02
  1.2173671532660448E+01    8.1818870192413712E-03    1.2173671532660448E+01   -7.4895806018740005E-02
  1.2330751165339938E+01    7.9784580642835879E-03    1.2330751165339938E+01   -7.3972192949832330E-02
  1.2487830798019427E+01    7.7824795288668775E-03    1.2487830798019427E+01   -7.3070715668672459E-02
  1.2644910430698918E+01    7.5935940245746483E-03    1.2644910430698918E+01   -7.2190601205240831E-02
  1.2801990063378407E+01    7.4114652192696978E-03    1.2801990063378407E+01   -7.1331111511771350E-02
  1.2959069696057897E+01    7.2357763739828379E-03    1.2959069696057897E+01   -7.0491541552471337E-02
  1.3116149328737386E+01    7.0662289963963534E-03    1.3116149328737386E+01   -6.9671217514336636E-02
  1.3273228961416876E+01    6.9025416004821873E-03    1.3273228961416876E+01   -6.8869495130454289E-02
  1.3430308594096365E+01    6.7444485628889985E-03    1.3430308594096365E+01   -6.8085758107852404E-02
  1.3587388226775856E+01    6.5916990675942014E-03    1.3587388226775856E+01   -6.7319416652568229E-02
  1.3744467859455344E+01    6.4440561311607291E-03    1.3744467859455344E+01   -6.6569906085168093E-02
  1.3901547492134835E+01    6.3012957016739778E-03    1.3901547492134835E+01   -6.5836685540468329E-02
  1.4058627124814324E+01    6.1632058250933371E-03    1.4058627124814324E+01   -6.5119236745681167E-02
  1.4215706757493814E+01    6.0295858733426617E-03    1.4215706757493814E+01   -6.4417062871644407E-02
  1.4372786390173303E+01    5.9002458289935189E-03    1.4372786390173303E+01   -6.3729687452194636E-02
  1.4529866022852794E+01    5.7750056218702538E-03    1.4529866022852794E+01   -6.3056653367111484E-02
  1.4686945655532282E+01    5.6536945133332803E-03    1.4686945655532282E+01   -6.2397521884399128E-02
